latitude,longitude,value,aqi,so2,no2,o3,value2
37.6399941,140.9503931,79.2,13.0,1.5,1.9,10.4,79.2
35.6718388,139.7551457,36.0,10.0,1.5,16.7,12.8,36.0
35.6422723,139.7354456,28.0,5.0,4.3,11.2,12.1,28.0
35.6422723,139.7354456,22.0,5.0,4.3,11.2,12.1,22.0
35.6422723,139.7354456,20.0,5.0,4.3,11.2,12.1,20.0
37.7669407,140.4494579,78.0,17.0,1.5,6.5,1.6,78.0
37.6399941,140.9503931,154.0,13.0,1.5,1.9,10.4,154.0
37.6399941,140.9503931,131.0,13.0,1.5,1.9,10.4,131.0
37.7669407,140.4494579,82.0,17.0,1.5,6.5,1.6,82.0
37.7669407,140.4494579,67.0,17.0,1.5,6.5,1.6,67.0
37.3909309,140.3965114,74.0,25.0,1.5,5.6,3.2,74.0
37.3909309,140.3965114,60.0,25.0,1.5,5.6,3.2,60.0
35.6639824,139.6979483,38.0,4.0,1.5,8.4,12.8,38.0
35.6718388,139.7551457,36.0,10.0,1.5,16.7,12.8,36.0
42.3584308,-71.0597732,41.0,34.0,0.5,11.2,16.0,41.0
35.6718388,139.7551457,0.0,10.0,1.5,16.7,12.8,0.0
37.2657039,140.9983584,216.0,9.0,1.5,1.9,11.2,216.0
36.9632779,140.8926893,29.0,17.0,1.5,6.5,1.6,29.0
42.3584308,-71.0597732,38.0,34.0,0.5,11.2,16.0,38.0
36.9632779,140.8926893,34.0,17.0,1.5,6.5,1.6,34.0
38.8577,-77.05922,25.0,28.0,0.2,1.6,13.0,25.0
35.5449367,139.5710302,21.0,9.0,1.5,16.7,4.0,21.0
35.5449367,139.5710302,28.0,9.0,1.5,16.7,4.0,28.0
35.8033114,139.5197165,46.0,42.0,1.5,19.5,2.4,46.0
35.8033114,139.5197165,28.0,42.0,1.5,19.5,2.4,28.0
35.8448557,139.8822874,44.0,46.0,1.5,20.4,4.8,44.0
35.7260247,139.928024,53.0,25.0,1.5,19.5,8.0,53.0
35.7260247,139.928024,38.0,25.0,1.5,19.5,8.0,38.0
35.7260247,139.928024,38.0,25.0,1.5,19.5,8.0,38.0
35.7798,139.5559271,40.0,42.0,1.5,18.6,2.4,40.0
36.2589796,138.8941485,48.0,30.0,1.5,8.4,4.8,48.0
35.7260247,139.928024,76.0,25.0,1.5,20.4,8.8,76.0
36.2295559,138.4615492,26.0,25.0,1.5,8.4,8.0,26.0
52.420277777778,12.552222222222,15.0,59.0,1.1,9.2,1.3,15.0
35.7260247,139.928024,29.0,25.0,1.5,20.4,8.8,29.0
34.6223426,136.0917954,46.0,30.0,1.5,2.8,27.2,46.0
52.420277777778,12.552222222222,17.0,59.0,1.1,9.2,1.3,17.0
42.474671,-70.971358,26.0,20.0,1.0,10.1,20.0,26.0
52.420277777778,12.552222222222,14.0,59.0,1.1,9.2,1.3,14.0
42.77077,-71.102259,33.0,55.0,1.0,10.1,27.2,33.0
